time,open,high,low,close,tick_volume,spread,real_volume
2024-06-08 17:20:00,69301.34,69316.29,69289.47,69294.32,242,901,0
2024-06-08 17:25:00,69294.25,69353.12,69271.94,69311.4,437,294,0
2024-06-08 17:30:00,69311.4,69361.38,69299.38,69358.77,580,0,0
2024-06-08 17:35:00,69359.02,69394.84,69344.02,69355.47,586,325,0
2024-06-08 17:40:00,69359.3,69387.82,69339.3,69375.93,402,243,0
2024-06-08 17:45:00,69370.96,69424.9,69355.04,69415.02,551,89,0
2024-06-08 17:50:00,69414.96,69448.26,69378.29,69378.29,557,134,0
2024-06-08 17:55:00,69377.08,69449.62,69377.08,69445.2,420,593,0
2024-06-08 18:00:00,69447.38,69478.52,69416.57,69423.32,574,439,0
2024-06-08 18:05:00,69423.32,69442.85,69387.5,69436.84,424,351,0
2024-06-08 18:10:00,69439.74,69479.79,69434.85,69444.09,344,587,0
2024-06-08 18:15:00,69450.21,69483.4,69441.67,69442.74,303,900,0
2024-06-08 18:20:00,69444.97,69459.75,69422.29,69426.27,327,327,0
2024-06-08 18:25:00,69426.27,69444.05,69405.28,69442.09,318,495,0
2024-06-08 18:30:00,69442.51,69468.22,69428.48,69454.88,281,464,0
2024-06-08 18:35:00,69454.89,69475.06,69429.07,69434.73,284,85,0
2024-06-08 18:40:00,69431.85,69458.2,69424.99,69444.48,216,267,0
2024-06-08 18:45:00,69444.49,69453.08,69410.34,69436.67,261,522,0
2024-06-08 18:50:00,69436.8,69449.29,69398.49,69400.47,415,338,0
2024-06-08 18:55:00,69396.68,69416.48,69396.68,69403.8,202,236,0
2024-06-08 19:00:00,69403.96,69460.13,69376.05,69458.63,440,1004,0
2024-06-08 19:05:00,69458.63,69459.47,69422.17,69439.33,379,842,0
2024-06-08 19:10:00,69431.48,69442.56,69373.1,69373.32,377,411,0
2024-06-08 19:15:00,69372.61,69379.58,69307.71,69313.09,453,204,0
2024-06-08 19:20:00,69313.09,69390.11,69286.48,69356.33,669,353,0
2024-06-08 19:25:00,69357.58,69361.21,69325.82,69348.02,432,423,0
2024-06-08 19:30:00,69346.49,69364.59,69310.03,69355.42,1023,682,0
2024-06-08 19:35:00,69353.84,69392.9,69333.69,69391.62,405,887,0
2024-06-08 19:40:00,69391.82,69411.94,69347.39,69390.33,461,73,0
2024-06-08 19:45:00,69390.33,69394.97,69325.69,69343.21,478,434,0
2024-06-08 19:50:00,69343.21,69393.61,69341.49,69378.87,576,1287,0
2024-06-08 19:55:00,69378.67,69397.06,69356.15,69383.22,943,769,0
2024-06-08 20:00:00,69383.22,69394.69,69352.65,69382.5,1011,901,0
2024-06-08 20:05:00,69382.52,69439.93,69366.84,69405.2,1040,974,0
2024-06-08 20:10:00,69407.17,69444.78,69396.53,69443.5,860,901,0
2024-06-08 20:15:00,69440.93,69464.06,69413.96,69434.18,887,507,0
2024-06-08 20:20:00,69434.18,69444.73,69389.68,69432.42,907,1289,0
2024-06-08 20:25:00,69433.0,69444.23,69392.1,69395.6,924,707,0
2024-06-08 20:30:00,69396.78,69430.19,69353.51,69353.73,1014,3,0
2024-06-08 20:35:00,69356.42,69461.11,69319.43,69431.75,1213,748,0
2024-06-08 20:40:00,69431.75,69468.44,69424.55,69450.37,847,1258,0
2024-06-08 20:45:00,69450.37,69475.44,69441.27,69467.73,696,1341,0
2024-06-08 20:50:00,69467.73,69469.02,69401.17,69408.72,980,1268,0
2024-06-08 20:55:00,69404.99,69448.3,69397.43,69444.34,847,1251,0
2024-06-08 21:00:00,69444.34,69469.71,69419.86,69451.46,915,901,0
2024-06-08 21:05:00,69451.18,69477.98,69444.37,69474.4,759,789,0
2024-06-08 21:10:00,69474.4,69481.44,69457.71,69478.19,767,1262,0
2024-06-08 21:15:00,69478.19,69480.15,69419.02,69446.71,900,1268,0
2024-06-08 21:20:00,69447.8,69484.64,69409.59,69461.88,625,1282,0
2024-06-08 21:25:00,69461.88,69483.67,69428.98,69471.69,312,1251,0
2024-06-08 21:30:00,69471.7,69477.28,69420.8,69428.32,339,288,0
2024-06-08 21:35:00,69428.32,69461.18,69420.87,69434.37,300,538,0
2024-06-08 21:40:00,69434.38,69452.65,69425.27,69443.25,293,564,0
2024-06-08 21:45:00,69443.25,69447.31,69420.18,69433.4,230,1491,0
2024-06-08 21:50:00,69433.49,69469.04,69433.4,69439.4,371,819,0
2024-06-08 21:55:00,69439.4,69459.95,69438.34,69445.97,208,331,0
2024-06-08 22:00:00,69446.05,69486.74,69446.05,69482.15,281,1277,0
2024-06-08 22:05:00,69476.2,69494.33,69462.67,69484.61,280,1259,0
2024-06-08 22:10:00,69481.85,69484.03,69453.15,69464.03,321,1031,0
2024-06-08 22:15:00,69464.28,69493.86,69464.28,69467.22,234,1168,0
2024-06-08 22:20:00,69467.22,69480.85,69454.96,69475.44,163,1400,0
2024-06-08 22:25:00,69475.44,69483.37,69461.05,69478.32,149,1276,0
